user_id,rest_id,cost,rating,location
U0350,R6892,1000,4,"Electronic City, Bangalore"
U0825,R7304,800,2,"JP Nagar, Bangalore"
U0204,R1631,500,3,"KR Puram, Bangalore"
U0300,R7506,300,2,"Sahakara Nagar, Bangalore"
U0479,R3521,400,5,"Jayanagar, Bangalore"
U0950,R3439,400,4,"Bommanahalli, Bangalore"
U0731,R3145,700,4,"BTM, Bangalore"
U0595,R7401,500,3,"Bannerghatta Road, Bangalore"
U0748,R5040,800,5,"Frazer Town, Bangalore"
U0672,R3153,900,1,"HSR, Bangalore"
U0429,R0539,200,1,"Phoenix Marketcity Bangalore, Whitefield, Bangalore"
U0848,R0786,400,4,"Varthur Main Road, Whitefield, Bangalore"
U0108,R1442,200,3,"Whitefield, Bangalore"
U0077,R1723,100,3,"Whitefield, Bangalore"
U0373,R8086,800,2,"Kaggadasapura, Bangalore"
U0421,R2348,200,2,"Bannerghatta Road, Bangalore"
U0875,R5141,200,5,"Mantri Square, Malleshwaram, Bangalore"
U0763,R0827,200,5,"Sarjapur Road, Bangalore"
U0215,R7658,1000,2,"New BEL Road, Bangalore"
U0099,R2950,900,3,"HSR, Bangalore"
U0494,R6045,800,1,"Kalyan Nagar, Bangalore"
U0561,R1589,700,2,"Whitefield, Bangalore"
U0346,R5761,300,2,"BTM, Bangalore"
U0319,R1394,800,1,"HSR, Bangalore"
U0307,R5885,600,5,"Kalyan Nagar, Bangalore"
U0086,R1661,1000,3,"Whitefield, Bangalore"
U0635,R5995,400,4,"Kammanahalli, Bangalore"
U0754,R4667,300,3,"Brigade Road, Bangalore"
U0004,R5892,400,5,"Banaswadi, Bangalore"
U0367,R5688,1000,4,"Kammanahalli, Bangalore"
U0729,R8219,600,4,"Banashankari, Bangalore"
U0876,R5684,600,3,"Kalyan Nagar, Bangalore"
U0814,R1017,800,1,"Bellandur, Bangalore"
U0685,R3150,600,3,"BTM, Bangalore"
U0505,R1536,200,1,"Whitefield, Bangalore"
U0869,R5734,600,3,"Old Airport Road, Bangalore"
U0192,R2507,300,5,"HSR, Bangalore"
U0668,R4179,700,2,"Bannerghatta Road, Bangalore"
U0146,R3023,800,4,"HSR, Bangalore"
U0203,R7205,200,2,"Electronic City, Bangalore"
U0742,R0846,600,3,"Marathahalli, Bangalore"
U0351,R3866,100,2,"JP Nagar, Bangalore"
U0440,R7244,100,1,"Electronic City, Bangalore"
U0642,R2023,600,5,"Marathahalli, Bangalore"
U0532,R0189,400,3,"Old Airport Road, Bangalore"
U0459,R3739,1000,5,"Koramangala 5th Block, Bangalore"
U0397,R2634,500,3,"BTM, Bangalore"
U0601,R4552,700,5,"Sarjapur Road, Bangalore"
U0826,R6953,200,4,"Electronic City, Bangalore"
U0910,R3742,500,1,"JP Nagar, Bangalore"
U0368,R1410,400,4,"Hosur Road, Bangalore"
U0236,R3832,100,5,"JP Nagar, Bangalore"
U0496,R0118,200,1,"Domlur, Bangalore"
U0985,R7572,300,4,"New BEL Road, Bangalore"
U0979,R4382,900,3,"Sarjapur Road, Bangalore"
U0790,R4990,1000,1,"New BEL Road, Bangalore"
U0978,R1228,100,3,"Bellandur, Bangalore"
U0699,R3457,400,2,"Jayanagar, Bangalore"
U0797,R6517,800,1,"Electronic City, Bangalore"
U0956,R4941,400,3,"Malleshwaram, Bangalore"
U0393,R5816,700,4,"HBR Layout, Bangalore"
U0330,R3408,100,1,"Kumaraswamy Layout, Bangalore"
U0791,R1655,600,1,"Whitefield, Bangalore"
U0783,R4416,400,1,"HSR, Bangalore"
U0110,R6177,800,2,"Hebbal, Bangalore"
U0094,R5206,600,4,"Vasanth Nagar, Bangalore"
U0569,R1075,900,2,"Varthur Main Road, Whitefield, Bangalore"
U0968,R3399,1000,5,"JP Nagar, Bangalore"
U0804,R2036,1000,2,"Marathahalli, Bangalore"
U0013,R6253,1000,4,"Kalyan Nagar, Bangalore"
U0064,R6544,400,2,"Bommasandra, Bangalore"
U0241,R3139,100,4,"Bommanahalli, Bangalore"
U0070,R0632,100,2,"Marathahalli, Bangalore"
U0852,R0736,900,2,"Brookefield, Bangalore"
U0108,R3211,100,5,"HSR, Bangalore"
U0596,R7232,400,4,"Electronic City, Bangalore"
U0143,R3180,400,1,"Koramangala 6th Block, Bangalore"
U0987,R0938,500,4,"Marathahalli, Bangalore"
U0738,R1641,800,2,"Whitefield, Bangalore"
U0915,R7396,300,1,"BluPetal Hotel, Koramangala, Bangalore"
U0801,R4281,100,3,"Sarjapur Road, Bangalore"
U0713,R3209,900,2,"BTM, Bangalore"
U0603,R6620,400,5,"Electronic City, Bangalore"
U0904,R7232,700,3,"Electronic City, Bangalore"
U0264,R2363,600,5,"Koramangala 4th Block, Bangalore"
U0666,R0927,1000,1,"Whitefield, Bangalore"
U0008,R0933,400,3,"Varthur Main Road, Whitefield, Bangalore"
U0214,R1551,600,5,"Whitefield, Bangalore"
U0555,R6963,900,1,"Electronic City, Bangalore"
U0605,R7771,700,1,"Yeshwantpur, Bangalore"
U0271,R2508,300,3,"Koramangala 1st Block, Bangalore"
U0143,R5021,200,4,"New BEL Road, Bangalore"
U0478,R1266,800,2,"Marathahalli, Bangalore"
U0374,R1073,600,5,"Marathahalli, Bangalore"
U0671,R3857,1000,1,"BTM, Bangalore"
U0491,R5819,100,5,"Kammanahalli, Bangalore"
U0996,R6778,700,1,"Electronic City, Bangalore"
U0135,R4539,400,3,"Bellandur, Bangalore"
U0045,R4473,700,4,"Sarjapur Road, Bangalore"
U0271,R6948,700,1,"Electronic City, Bangalore"
U0499,R6763,900,2,"Electronic City, Bangalore"
U0839,R8512,1000,3,"Basaveshwara Nagar, Bangalore"
U0991,R6144,1000,3,"Kalyan Nagar, Bangalore"
U0893,R7172,600,3,"Electronic City, Bangalore"
U0514,R6368,1000,5,"Frazer Town, Bangalore"
U0826,R7379,600,4,"JP Nagar, Bangalore"
U0792,R6681,600,2,"Hosur Road, Bangalore"
U0435,R5726,900,4,"Hotel Ramanashree, Bangalore"
U0033,R7398,100,5,"BTM, Bangalore"
U0826,R6214,1000,5,"Kalyan Nagar, Bangalore"
